ID,PRODUCT,SLOGAN,DESCRIPTION,CHARACTERISTICS,LISTA_URL,amenities,anal,BDSM,femenino,masculino,juguetes,lenceria,muebles
0,LIMPÍN,limpiador de juguetes eróticos,"la busqueda de sensaciones placenteras es una de nuestras misiones en la vida. algunas pueden parecer obvias viniendo de una tienda erotica, pero otras nos enseñan que el placer se encuentra en las cosas mas sencillas. ¿y es que a quien no se le ha escapado algun gemidito ante la agradable sensacion de hundirse bajo unas sabanas recien cambiadas? ¿quien no ha cerrado los ojos un instante e inspirado profundamente ante unas toallas recien lavadas?. y es que no hacia falta que nos viniese ninguna marie kondo a decir que lo limpio tambien es fuente de placer.por eso hemos creado limpin, la locion limpiadora de juguetes eroticos exclusiva de amantis que no solo higieniza tus vibradores y dildos, si no que lo hace con la intencion de dejaros una agradable sensacion de bienestar.por supuesto limpin es bactericida y como no podia ser de otra manera completamente inocua con tus zonas intimas. no contiene alcohol y es compatible con latex, silicona y cualquier material del que este hecho tu juguete erotico favorito. viene en un practico envase de 200ml con pulverizador, de modo que te resultara muy facil de usar y ademas ¡te sorprendera lo que te dura un solo bote!asi que preparate para que cada vez que abras el cajon de tus juguetes te invada el placer de las sensaciones mas sencillas.","Envase con pulverizador Contiene 200ml.Sin aromaSin alcoholBactericidaAplica una pequeña cantidad, frota y retira ",https://www.amantis.net/limpin-limpiador-juguetes-eroticos/,False,False,True,True,False,True,True,False
1,Desliz! Lubricante íntimo de agua 100ml,,"tras muchos años de experiencia en lubricantes en amantis y amantis.net hemos perfeccionado la formula ideal para un lubricante intimo: desliz!. nuestro lubricante de base acuosa esta meticulosamente diseñado para ofrecer una experiencia inigualable.equilibrio ideal: la consistencia de desliz! es ni demasiado densa ni demasiado liquida, evitando asi la sensacion pegajosa o la absorcion excesivamente rapida.compatibilidad total: perfecto para su uso con juguetes eroticos de cualquier material. ademas, es 100% seguro para usar con preservativos, lo que lo hace ideal para una amplia gama de actividades intimas.diseño hipoalergenico: nuestro lubricante es completamente hipoalergenico, sin olor ni sabor, y no deja manchas, garantizando una experiencia limpia y segura.hidratacion avanzada: ademas de su funcion principal, desliz! actua como un hidratante intimo, dejando la piel suave y sedosa, incluso despues de su total absorcion.ideal para:uso vaginal, proporcionando una lubricacion prolongada y confortable.complementar las relaciones sexuales, facilitando una experiencia mas fluida y agradable.beneficios clave:larga duracion: su formula concentrada asegura una duracion prolongada, reduciendo la necesidad de reaplicaciones frecuentes.respetuoso con la piel: su composicion amigable con la piel lo convierte en una eleccion segura y confortable para todos los usuarios.desliz! lubricante intimo de agua es la eleccion perfecta para quienes buscan un producto confiable, seguro y efectivo. diseñado con el equilibrio perfecto en mente, es el compañero ideal para tus momentos mas intimos. descubre la suavidad y el confort con desliz!, tu aliado en la intimidad.","Bote de 100ml de venta exclusiva en amantis.net y tiendas amantis.Ingredientes: Aquam glycerin, hydroxyethylcellulose, diazolidinyl urea, sodium benzoate, potassium sorbate, citric acid. ",https://www.amantis.net/desliz-lubricante-intimo-agua-100ml/,True,False,False,True,False,False,True,False
2,TOBOGANE HOT RABBIT,el superventas de amantis ¡mejorado!,"vuelve nuestro vibrador de doble estimulacion mas vendido de amantis… ¡ahora con rabbit!si ya conoces a tobogane, nuestro superventas con doble motor, mango ergonomico gracias a su anilla y con efecto calor, vas a enamorarte completamente de su version mas actualizada; le hemos añadido las orejitas a su brazo de estimulacion externa y el resultado es un potente conejo que bordeara y hara trepidar tu clitoris (o perineo) para una estimulacion mas completa, precisa y profunda.esta nueva version rabbit cuenta con 2 motores, uno en cada brazo de estimulacion dual (interna y externa) con 10 patrones de vibracion y 6 niveles de intensidad, y con un boton para activar el efecto calor… que caldeara y templara a tu adorado juguete para tener una experiencia total hot sin sobresaltos.dejate caer por un tobogan de sensaciones y por las sinuosas curvas del nuevo tobogane hot rabbit… que esta vez te hara tambien saltar.","Medidas: 19 cm (11 cm insertables) y 3,3 cm/ 2,2 cm (ancho máximo/ mínimo)Material: Silicona médica + ABSVibración: 10 modos + 6 intensidadesEfecto calor independienteRecargable (cable USB incluido)Sumergible IPX7Función de bloqueo para viajesIncluye estuche rígido y bolsa de saténColor: negro, rosa o púrpuraLimpieza y conservación: recordamos que el uso de lubricante es aconsejable para cualquier actividad sexual (siempre con base de agua al utilizar juguetes de silicona). No olvides lavar tus juguetes antes y después de cada uso, con agua y jabón neutro o un limpiador específico de acción desinfectante y bactericida, como nuestro spray limpiador Limpín. Todos los juguetes deben estar separados entre sí, en un lugar fresco y seco; para ello puedes utilizar la bolsa de satén incluida o una de nuestras bolsas de terciopelo en diferentes tamaños. ",https://www.amantis.net/tobogane-hot-rabbit-el-superventas-amantis-mejorado/,False,False,False,True,False,True,True,False
3,BALLENATO,tu vibrador a distancia con aleta móvil y sumergible,"de las profundidades mas humedas llega ballenato, el nuevo vibrador ergonomico de amantis.este grandioso cetaceo vibrante es poseedor de una colita estructurada que adquiere la forma que tu le des. de tal manera que podrias usarlo: como un potente dildo (dejando la aleta articulada en linea recta), como juguete de doble estimulacion (vagina- clitoris / ano- perineo) o como vibrador tipo c (insertando solo la parte de la aleta y permitiendo la penetracion mientras lo llevas puesto)… entre muchas otras formas de estimulacion externa.ademas, ballenato es disfruton y aparte de pasarlo muy bien en el hogar y recrearse en los juegos humedos del baño, le encanta dar paseos al aire libre o incluso que lo saques a cenar porque gracias a su mando a distancia, podras llevarlo puesto y activarlo alla donde tu quieras.hazte ya las veinte mil leguas de viaje submarino con sus multiples y diversas inmersiones.¡free ballenato!","Mando a distancia.14cm de punta a cola. 10cm longitud doblado3.2cm ancho máximoPeso 62 gramos.Silicona médica.5 modos de vibración.Recargable (cable USB incluido). Tiempo de carga: 2h. Tiempo de uso: 1,5h.Sumergible.Color: Rosa o azul pastel.Limpieza y conservación:Recordamos que el uso de lubricante es aconsejable para cualquier actividad sexual (siempre con base de agua al utilizar juguetes de silicona). No olvides lavar tus juguetes antes y despus de cada uso, con agua y jabón neutro o un limpiador específico de acción desinfectante y bactericida, como nuestro spray limpiadorLimpín. Todos los juguetes deben estar separados entre sí, en un lugar fresco y seco; para ello puedes utilizar nuestrasbolsas de terciopelo en diferentes tamaños. ",https://www.amantis.net/ballenato-tu-vibrador-distancia-aleta-movil-sumergible/,False,False,False,True,False,True,True,False
4,Bacanal Gel Anal monodosis,pack de 10 uds,"bacanal es un lubricante en gel de base de agua especialmente formulado para facilitar el sexo anal, su composicion equilibrada te ayudara durante el proceso.compatible con preservativos y juguetes eroticos, su tacto es inicialmente viscoso, por lo que te permitira manipularlo y aplicarlo facilmente justo donde lo necesitas, con el propio calor su viscosidad disminuira hasta un tacto mas liquido que permitira una penetracion placentera y comoda.enriquecido con aloe vera, protege tu piel gracias a sus propiedades hidratantes, nutritivas y suavizantes. ya sea porque la pasion te ha cogido de sorpresa o porque te vas de viaje y no quieres cargar con un bote grande respeta el medio ambiente y respeta tus mucosas con este paquete de 10 unidades.","Contiene 3 ml x 10 unidadesLubricante íntimo a base agua enriquecido con Aloe Vera.Perfecto para sexo anal.Compatible con preservativos y juguetes eróticos.Ingredientes: Aqua, Glycerin, Propylene Glycol, Aloe Barbadensis Leaf Juice, Cyclopentasiloxane, Hydroxyethylcellulose, Sodium Benzoate, Diazolidinyl Urea, Carbomer, Sodium Acrylates Copolymer, Dimethiconol, Citric Acid, Hydrogenated Polydecene, Potassium Sorbate, C9-12-Isoalkane, Pentasodium Pentetate. ",https://www.amantis.net/bacanal-monodosis-pack-10-uds/,True,True,False,False,False,False,True,False
5,FOXTAIL,plug anal cola de zorro de 35cm,"deja volar la imaginacion y saca tu lado mas salvaje con foxtail.este excitante plug anal diseñado para ayudarte en procesos de dilatacion es toda una fantasia. con el te sentiras una fiera poderosa capaz de someter a sus victimas, o simplemente luciras majestuosa tu belleza. y es que esta suave cola de piel sintetica de 35 cm es ideal para hacer volar la imaginacion, y te permitira excitarte a solas (imaginate frente a un espejo moviendo la cola y recibiendo todo el placer que te mereces) o en compañia (aqui poco hace falta decir, no creo que haya amante capaz de resistirse a una criatura como tu).su cuerpo de metal te permitira jugar con diferentes temperaturas, asi que prueba a meterlo en agua templada o a enfriarlo en la nevera y disfruta de las diferentes sensaciones.aplica unas gotas de tu lubricante anal favorito para disfrutar la experiencia y preparate para aullar de placer.",Tamaño plug S: 6.6cm Max Dia.: 2.8cmCola de pelo sintéticoLogitud cola: 35cmPeso 90gIncluye bolsita de satén para su conservación.Limpiar antes y después de cada uso con agua templada y jabón o con Limpín Bactericida ,https://www.amantis.net/foxtail-plug-anal-cola-zorro/,True,True,False,False,False,True,True,False
6,LIZO 2,el dildo versátil en silicona suave,"explora la versatilidad sin igual de lizo 2, tu compañero de placer en cualquier ambiente. su ventosa de fijacion ultra potente te permite disfrutarlo en la ducha, bañera, o en cualquier superficie lisa y no porosa. imagina las posibilidades: adherido a una puerta, espejo o incluso en el yakuzzi. lizo 2 se mantiene firme y listo para la accion.descubre una nueva era de dildos no realistas en amantis, hechos de silicona premium: suave, flexible y resistente. perfecto para el juego solitario, en pareja, o con un arnes. la ventosa de lizo 2.0 no solo tiene un increible poder de fijacion, sino que su forma de corazon añade un toque especial a tus momentos intimos.doble el placer, doble la diversion: conecta dos lizo 2.0 y experimenta un nuevo nivel de placer con nuestro diseño double dong. elige tu tamaño y color favorito para una experiencia personalizada.ideal para el juego con arnes: la consistencia y el diseño de lizo 2.0 lo convierten en el compañero ideal para arneses de anillas. su ventosa en forma de corazon se adapta perfectamente al pubis y evita deslizamientos durante el movimiento. preparate para tomar el control.especificaciones:material: silicona medica de alta calidad.dimensiones: 	s: 18 cm (16,5 cm insertables) x 3,6 cm diam. max. (3.1 cm diam. medio)m: 18.5 cm (17,5 cm insertables) x 4 cm diam. max. (3.5 cm diam. medio)l: 19 cm (18 cm insertables) x 4,5 cm diam. max. (4 cm diam. medio)colores: caucasico, verde, purpura.ventosa de fijacion potente y decorativa en forma de corazon.compatible con arneses de anillas.uso recomendado con lubricante a base de agua.limpieza: usar jabon neutro y/o bactericida tipo limpin. guardar en una bolsa de tela transpirable, lejos de la luz solar directa y de forma individual.lizo 2.0: tu aliado perfecto para la autoexploracion o el juego en pareja descubre el placer a tu manera con lizo 2.0, un dildo que promete ser tu aliado tanto en tus momentos de intimidad como en tus aventuras mas atrevidas. pruebalo y siente la diferencia.",,https://www.amantis.net/lizo-2-dildo-suave-silicona-3-tamanos/,True,False,True,True,False,True,True,False
7,Vibrador Líquido con sabor Desliz! VIBRAGEL 30ml,hormigueo oral,"¿alguna vez has sentido un hormigueo en lo mas profundo de tu ser? nace un nuevo concepto de desliz! los lubricantes by amantis.reparte unas gotas de este vibrador liquido en tus zonas mas humedas y redescubre el sexo. el hormigueo que despertara en ti no te dejara indiferente.¡dejate lamer! el sabor de este potenciador os dara un nuevo universo durante el sexo oral... o mejor aun, usalo como si de un gloss se tratase y sorprende a tu pareja. podras escoger entre frutos rojos si te van los sabores mas dulzones, la fresa si quieres apostar por algo un poco mas acido y fresco, la cereza si te gustan las piruletas, o el melocoton si te gustan las frutas jugosas.este formato de 30ml encaja perfectamente en cualquier cajon o sobre tu mesilla de noche. si necesitas un formato mas discreto tienes el vibragel 10ml, ideal para llevar siempre contigo y listo para usar en cualquier situacion.","Ingredientes: agua, glicerina, hidroxietilcelulosa, aroma, benzonato de sodio, jugo de hoja de aloe barbadensis, polisorbato 20, sorbato de potasio, ácido cítrico, acmella oleracea, extracto de flor/hoja/semilla, sacarina de sodio, EDTA disódico, hidróxido de sodio.Compatible con el uso de preservativos y juguetes sexuales. ",https://www.amantis.net/desliz-vibragel-liquido-vibrador-30ml/,False,False,False,False,False,True,True,False
8,DUAL LIPPA,masturbador masculino doble,"a muchos nos surge la duda a lo hora de decidir entre un masturbador con forma de vagina o uno con forma de boca… pero, ¿por que no tener ambas en un solo juguete? este increible masturbador tiene dos canales de entrada, uno con forma de boca y, en su parte opuesta, otro con forma de vagina. es tan dificil resistirse a los carnosos labios de su boca como a los tersos y delicados labios de su vagina. tu unica tarea es decidir que te apetece mas en cada momento y que combinaciones hacer. las estrias internas de cada parte te transmitiran la sensacion de estar metiendola en una vagina o una boca de verdad. pero, lo mejor es que en el medio del juguete las estrias cambian, de modo que podras probar lo que se siente jugando con una boca y una vagina ¡a la vez!. ademas, esta hecha de ciberpiel para que disfrutes de la sensacion mas realista que existe. empuja, ¡por un lado, por el otro, o por los dos…! ¡hasta que ya no puedas resistirte a dual lippa!.como se utiliza el masturbador dual lippa:aplica un poco de lubricante a base de agua en tu pene, en el juguete o en ambos e introduce tu miembro por su canal de entrada. puedes cogerlo con una mano o con las dos y tambien jugar solo o en compañia. si dejas que sea otra persona la que dirija la situacion, podras masturbarte en modo “manos libres” mientras la otra persona se excita de ver como te da placer a traves del juguete.consejos: no utilices aceite mineral, lubricantes a base de aceite o lubricantes a base de silicona. despues de su uso, lava el juguete con agua tibia, limpin y dejalo secar al aire.","Material: TPE (ciberpiel)Textura: muy blando, elástico y suaveMedidas: 20 cm de profundidad × 7,5 cm de diámetroConsejos: no utilices aceite mineral, lubricantes a base de aceite o lubricantes a base de silicona. Después de su uso, lávalo con agua tibia, Limpín y déjalo secar al aire. ",https://www.amantis.net/dual-lippa-masturbador-masculino-doble/,True,False,False,False,False,True,True,False
9,LIBBO,anillo vibrador para dedo,"¿quieres darle un nuevo toque a tus relaciones sexuales metiendo algun juguete sexual pero no sabes por donde empezar? despierta nuevas sensaciones y fortalece la conexion intima gracias a libbo, nuestro anillo vibrador para dedo diseñado para preliminares.libbo es suave, maleable y ajustable, proporcionando comodidad y sensaciones intensas para ambos. colocado en el dedo, este anillo vibrador intensifica las caricias sensuales y estimula las zonas erogenas, llevando a ambos a un nuevo nivel de excitacion y placer. este accesorio sencillo y flexible es perfecto para explorar y descubrir nuevas formas de estimulacion mutua, utilizalo a tu conveniencia. sus vibraciones poderosas y discretas haran que cada caricia se convierta en un momento orgasmico y memorable. libbo ha sido creado pensando en la diversion y el disfrute compartido, y por eso tambien es muy asequible. queremos que todas las parejas puedan disfrutar de momentos intimos inolvidables sin preocuparse por el precio.  sumergete en un mundo de pasion y complicidad con libbo, el anillo vibrador para dedo que transformara tus juegos preliminares en una experiencia emocionante y llena de placer para ambos. libbo: descubre el placer compartido, intensifica la conexion.","Medidas: 4cm x 1,5cm x 2cmMaterial: silicona médica + absUna pila LR754 (incluida)Color: Azul y morado ",https://www.amantis.net/libbo-anillo-vibrador-para-dedo/,False,False,False,False,False,True,True,False
